,name,race,medical,positive,negative,flavors
1874,WMD,indica,"Depression,Insomnia,Pain,Stress,Headaches","Relaxed,Happy,Uplifted,Sleepy,Giggly",,"Earthy,Berry,Pungent"
1875,WSU,indica,"Depression,Insomnia,Pain,Stress,Lack of Appetite","Relaxed,Hungry,Euphoric,Tingly","Dry Mouth,Dry Eyes","Pine,Berry,Citrus"
1876,Waipi'o Hapa,sativa,"Depression,Pain,Stress,Fatigue","Relaxed,Happy,Energetic,Uplifted,Focused","Dry Mouth,Dry Eyes","Lime,Earthy,Minty"
1877,Waldo,hybrid,"Depression,Pain,Lack of Appetite,Nausea,Eye Pressure","Hungry,Euphoric,Creative,Tingly","Dizzy,Paranoid","Earthy,Pungent,Skunk"
1878,Walker Kush,hybrid,"Depression,Insomnia,Pain,Stress,Nausea,Headache","Relaxed,Euphoric,Happy,Uplifted,Focused",,"Earthy,Woody,Pine"
1879,Wally OG,hybrid,"Insomnia,Pain,Stress,Fatigue,Headaches","Relaxed,Happy,Creative,Sleepy",Dry Mouth,"Earthy,Flowery,Butter"
1880,Walter White,hybrid,"Depression,Pain,Lack of Appetite,Headaches,Inflammation","Relaxed,Euphoric,Happy,Energetic,Uplifted","Dizzy,Dry Mouth,Dry Eyes,Anxious","Earthy,Citrus,Pungent"
1881,Wappa,hybrid,"Depression,Insomnia,Pain,Stress,Inflammation","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Earthy,Flowery,Sweet"
1882,Warlock,hybrid,"Depression,Pain,Stress,Headaches,Inflammation","Relaxed,Euphoric,Happy,Uplifted,Focused","Dizzy,Dry Mouth,Paranoid,Dry Eyes,Anxious","Berry,Flowery,Pine"
1883,Watermelon,indica,"Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache","Relaxed,Hungry,Euphoric,Happy,Sleepy","Dizzy,Dry Mouth,Paranoid,Dry Eyes","Sweet,Berry,Tropical"
1884,Webster,sativa,"Pain,Stress,Headaches,Eye Pressure,Inflammation","Relaxed,Happy,Talkative,Uplifted,Sleepy",,"Citrus,Earthy,Skunk"
1885,Wedding Cake,hybrid,"Depression,Insomnia,Pain,Stress,Lack of Appetite,Headache","Relaxed,Euphoric,Happy,Creative,Uplifted","Paranoid,Dry Eyes,Anxious","Sweet,Earthy,Pungent"
1886,Wellness OG,hybrid,"Depression,Insomnia,Pain,Stress,Inflammation","Relaxed,Euphoric,Happy,Uplifted,Focused","Dizzy,Dry Mouth","Diesel,Pine,Lemon"
1887,West Coast Dawg,indica,"Pain,Stress","Relaxed,Euphoric,Sleepy,Aroused",Dry Mouth,"Sweet,Tropical,Woody"
1888,West OG,indica,,"Relaxed,Euphoric,Creative,Sleepy,Giggly",,"Woody,Butter,Citrus"
1889,Wet Dream,sativa,"Depression,Pain,Stress,Lack of Appetite,Nausea,Headache","Euphoric,Happy,Creative,Energetic,Uplifted","Dry Mouth,Paranoid,Dry Eyes,Anxious","Spicy/Herbal,Woody,Lemon"
1890,Whitaker Blues,indica,"Depression,Insomnia,Pain,Stress,Fatigue","Relaxed,Euphoric,Happy,Sleepy",Dry Mouth,"Sweet,Apple,Pear"
1891,White 99,hybrid,"Depression,Insomnia,Stress,Fatigue,Headaches","Relaxed,Euphoric,Happy,Creative,Uplifted","Dry Mouth,Dry Eyes,Anxious","Pungent,Lemon,Earthy"
